region_name,date,temp_min_anomaly
澳门特别行政区,2006-05-25,
香港特别行政区,2006-05-25,-0.9588250190715399
北京市,2006-05-25,-7.102840363962072
上海市,2006-05-25,-4.457204347876914
天津市,2006-05-25,-7.342485027276972
重庆市,2006-05-25,-2.588589592958776
白沙黎族自治县,2006-05-25,-0.8020184515333604
保亭黎族苗族自治县,2006-05-25,-0.180542471369872
昌江黎族自治县,2006-05-25,-0.5390257287975437
澄迈县,2006-05-25,-0.38447172603763846
定安县,2006-05-25,-0.22291704619147978
东方市,2006-05-25,-0.2952730739128313
济源市,2006-05-25,-4.601098879009397
乐东黎族自治县,2006-05-25,-0.21038823925218608
临高县,2006-05-25,-0.5845906446178155
陵水黎族自治县,2006-05-25,-0.27675143299325455
潜江市,2006-05-25,-5.74641407927194
琼海市,2006-05-25,-0.32823709829166603
琼中黎族苗族自治县,2006-05-25,-0.5458423577050162
神农架林区,2006-05-25,-2.4879786288379346
台湾省,2006-05-25,-1.3379987055310103
天门市,2006-05-25,-6.0912080512011
屯昌县,2006-05-25,-0.4093915867371223
万宁市,2006-05-25,-0.4123184450678039
文昌市,2006-05-25,-0.2066423329288014
五指山市,2006-05-25,-0.37801592439312515
仙桃市,2006-05-25,-6.318630498399742
石家庄市,2006-05-25,-5.577740504620115
唐山市,2006-05-25,-7.551758959563891
秦皇岛市,2006-05-25,-8.081709316131784
邯郸市,2006-05-25,-6.650179298990322
邢台市,2006-05-25,-6.535429176256612
保定市,2006-05-25,-6.059001949878075
张家口市,2006-05-25,-5.347799166922401
承德市,2006-05-25,-6.575121218035366
沧州市,2006-05-25,-7.176878701330168
廊坊市,2006-05-25,-7.532395913973453
衡水市,2006-05-25,-7.948047403780317
太原市,2006-05-25,-3.7263265687026905
大同市,2006-05-25,-4.78709274626112
阳泉市,2006-05-25,-4.3836757729028
长治市,2006-05-25,-4.496756367448848
晋城市,2006-05-25,-4.260922242952645
朔州市,2006-05-25,-3.376469329721436
晋中市,2006-05-25,-4.390429191983843
运城市,2006-05-25,-4.572817948551057
忻州市,2006-05-25,-3.7872229207280927
临汾市,2006-05-25,-4.457262833927743
吕梁市,2006-05-25,-4.346852774433971
沈阳市,2006-05-25,-4.19998063701043
大连市,2006-05-25,-8.483392029633551
鞍山市,2006-05-25,-7.2666619390100085
抚顺市,2006-05-25,-5.8288113218306155
本溪市,2006-05-25,-6.344473194168396
丹东市,2006-05-25,-7.7087019872304445
锦州市,2006-05-25,-5.928740055378
营口市,2006-05-25,-8.001576070083326
阜新市,2006-05-25,-3.982809649238474
辽阳市,2006-05-25,-6.192727002691528
盘锦市,2006-05-25,-6.7985580071018425
铁岭市,2006-05-25,-3.5362944409832657
朝阳市,2006-05-25,-6.213533848659713
葫芦岛市,2006-05-25,-8.095123299397459
长春市,2006-05-25,-6.3156690917871465
吉林市,2006-05-25,-5.432120531257061
四平市,2006-05-25,-4.5653398688235285
辽源市,2006-05-25,-3.6666924276515616
通化市,2006-05-25,-5.038030997501091
白山市,2006-05-25,-5.643555377275311
松原市,2006-05-25,-6.4639420519166695
白城市,2006-05-25,-6.126259109689872
延边朝鲜族自治州,2006-05-25,-4.88146100660553
哈尔滨市,2006-05-25,-8.250119385755962
齐齐哈尔市,2006-05-25,-6.98659240269885
鸡西市,2006-05-25,-5.750030179102145
鹤岗市,2006-05-25,-7.173291275374593
双鸭山市,2006-05-25,-5.700415198163448
大庆市,2006-05-25,-6.809803187013422
伊春市,2006-05-25,-8.052423025966675
佳木斯市,2006-05-25,-5.758133092843941
七台河市,2006-05-25,-7.70808306430847
牡丹江市,2006-05-25,-5.492683542899615
黑河市,2006-05-25,-7.5355343108648105
绥化市,2006-05-25,-7.191012525934074
大兴安岭地区,2006-05-25,-9.61978956001006
南京市,2006-05-25,-5.228906121243185
无锡市,2006-05-25,-5.569310044244208
徐州市,2006-05-25,-5.194068952269209
常州市,2006-05-25,-5.518424810041903
苏州市,2006-05-25,-4.921262463002069
南通市,2006-05-25,-4.585928070671379
连云港市,2006-05-25,-5.440419908493226
淮安市,2006-05-25,-5.394451932382989
盐城市,2006-05-25,-4.874850908847204
扬州市,2006-05-25,-5.3370914638691325
镇江市,2006-05-25,-5.453405598083577
泰州市,2006-05-25,-4.988096519336004
宿迁市,2006-05-25,-5.672593388025163
杭州市,2006-05-25,-3.116781321522655
宁波市,2006-05-25,-3.1527007791678585
温州市,2006-05-25,-2.894071086657668
嘉兴市,2006-05-25,-4.41885922789319
湖州市,2006-05-25,-4.150781844330364
绍兴市,2006-05-25,-2.317774807016505
金华市,2006-05-25,-2.1499113098887115
衢州市,2006-05-25,-1.8605818981652185
舟山市,2006-05-25,-4.16410680162987
台州市,2006-05-25,-3.161205546715742
丽水市,2006-05-25,-2.2161789974174333
合肥市,2006-05-25,-4.548665743656052
芜湖市,2006-05-25,-4.299268863871344
蚌埠市,2006-05-25,-4.830550612772633
淮南市,2006-05-25,-4.417642042904241
马鞍山市,2006-05-25,-4.85091304212424
淮北市,2006-05-25,-4.7917846022871124
铜陵市,2006-05-25,-4.634875191075789
